N,MAE,RMSE,SRCC,PLCC,Bias,pred_mean,pred_std,target_mean,target_std,std_ratio,dataset,model
1008,7.304431894958729,9.575596686564445,0.8666548083352082,0.8861500397368006,6.005685142976866,64.58597529549448,12.041241654786043,58.580290152517605,15.618942277557046,0.7709383542628349,koniq,B4:koniq_flive_koniq_guard_cap_8
1008,6.565754498814616,8.643339658814352,0.8667370293026257,0.8894421768066831,4.811896635348804,63.39218678786641,13.121864014907288,58.580290152517605,15.618942277557046,0.8401250085777047,koniq,B5:koniq_flive_disagreement_guard
1125,9.580659564124213,11.806449820138361,0.8555116103521943,0.8451399925123437,-0.3194176194085015,47.628493491702606,19.87955935978161,47.947911111111104,21.935921379045247,0.906255954161651,spaq,koniq_score
1125,20.87626565314399,24.984523939495013,0.826651564344151,0.6814554480952215,18.420806148613824,66.36871725972493,9.73596865423007,47.947911111111104,21.935921379045247,0.4438367774025011,spaq,flive_score
1125,7.91078743174341,10.03821500331437,0.8991544549317566,0.8930665150201922,1.2958436274581484,49.24375473856926,18.294365253817908,47.947911111111104,21.935921379045247,0.8339911936087621,spaq,topiq_score
1125,7.7316292561584055,10.026315344543704,0.8897270730774978,0.8923824083962633,-1.1996713296519386,46.74823978145917,20.620593742635922,47.947911111111104,21.935921379045247,0.94003773018325,spaq,topiq_ranking_score
1125,13.317903748906984,15.806655016401098,0.9015262537979526,0.8672795968862879,9.858324888035986,57.8062359991471,13.244122187423647,47.947911111111104,21.935921379045247,0.6037641163354722,spaq,A1:flive_topiq_mean_50_50
1125,11.926619232278401,14.213025906924017,0.9023019892138611,0.8786948752999786,8.14582863592042,56.09373974703153,14.17636874410055,47.947911111111104,21.935921379045247,0.6462627440688599,spaq,A2:flive_topiq_topiq60_flive40
1125,14.75690283399158,17.51291639439245,0.8990378955075559,0.8501955565939345,11.570821140151551,59.518732251262655,12.368932366535162,47.947911111111104,21.935921379045247,0.5638665526195242,spaq,A3:flive_topiq_flive60_topiq40
1125,10.614518516050445,12.927703109403106,0.8998136562075042,0.8779599442513271,6.847775654784838,54.79568676589595,16.10409724555254,47.947911111111104,21.935921379045247,0.7341427317904377,spaq,A4:flive_topiq_min_cap_8
1125,9.449556466470826,11.695489777086951,0.8997828223207768,0.8845297979031738,5.217824683764246,53.16573579487536,17.20079045151996,47.947911111111104,21.935921379045247,0.7841380425420096,spaq,A5:flive_topiq_disagreement_guard
1125,12.86672208357917,15.55499677170878,0.8748837318723021,0.8435970441297649,9.05069426460266,56.99860537571377,13.89030443709032,47.947911111111104,21.935921379045247,0.6332218372353999,spaq,B1:koniq_flive_mean_50_50
1125,11.51956844406128,14.109165940946092,0.872021865101643,0.8488442146509403,7.1766718878004285,55.12458299891154,15.002114312677618,47.947911111111104,21.935921379045247,0.6839062765336451,spaq,B2:koniq_flive_koniq60_flive40
1125,14.372592637634279,17.205679276759287,0.8770577379079223,0.8331316174022713,10.924716641404892,58.872627752516,12.844527041119912,47.947911111111104,21.935921379045247,0.5855476421149977,spaq,B3:koniq_flive_flive60_koniq40
1125,10.464504802873398,13.237129450418418,0.8637854415954767,0.8340077359200189,5.3420522478739425,53.289963358985055,17.85144009686532,47.947911111111104,21.935921379045247,0.8137994200653129,spaq,B4:koniq_flive_koniq_guard_cap_8
1125,9.904498198530408,12.507398120318438,0.8613560667562925,0.8391749945841324,3.7191784363640683,51.66708954747518,18.932824937608057,47.947911111111104,21.935921379045247,0.8630968633801741,spaq,B5:koniq_flive_disagreement_guard
